PLATE_E MJD_E FIBER_E THING_ID_E PLATE_B MJD_B FIBER_B THING_ID_B
7826 56931 786 68767960 3651 55247 203 68806085
7826 56931 786 68767960 4240 55455 128 68806085
7826 56931 794 64097381 4342 55531 638 64122705
7826 56931 800 62568401 4342 55531 646 62593374
7826 56931 806 59513383 4342 55531 358 59536805
7826 56931 828 64126264 4342 55531 678 64151609
7826 56931 839 62568544 4342 55531 693 62593517
7826 56931 840 64152485 4342 55531 681 64177830
7828 57039 2 78045569 4239 55458 330 78132875
7828 57039 2 78045569 3744 55209 112 78132875
7828 57039 2 78045569 3745 55234 358 78132875
7828 57039 4 78045700 4239 55458 296 78133006
7828 57039 16 88052645 3650 55244 496 88179370
7828 57039 16 88052645 3745 55234 312 88179370
7828 57039 20 88050091 3745 55234 350 88176806
7828 57039 20 88050091 4239 55458 318 88176806
7828 57039 42 68787994 3744 55209 168 68826175
7828 57039 42 68787994 4239 55458 366 68826175
7828 57039 48 68788005 4239 55458 364 68826186
7828 57039 48 68788005 3744 55209 214 68826186
7828 57039 70 88041774 4238 55455 35 88168472
7828 57039 70 88041774 3745 55234 428 88168472
7828 57039 70 88041774 4239 55458 348 88168472
7828 57039 72 82654903 4238 55455 27 82762761
7828 57039 72 82654903 3647 55945 30 82762761
7828 57039 72 82654903 3647 55181 26 82762761
7828 57039 72 82654903 3647 56596 8 82762761
7828 57039 72 82654903 3615 55179 2 82762761
7828 57039 72 82654903 3615 55208 16 82762761
7828 57039 72 82654903 3615 55445 6 82762761
7828 57039 72 82654903 3647 56568 2 82762761
7828 57039 72 82654903 3615 56219 10 82762761
7828 57039 72 82654903 3647 55476 4 82762761
7828 57039 72 82654903 3647 55827 10 82762761
7828 57039 72 82654903 4239 55458 386 82762761
7828 57039 72 82654903 3615 55856 6 82762761
7828 57039 72 82654903 3615 56544 4 82762761
7828 57039 72 82654903 3647 55241 36 82762761
7828 57039 72 82654903 3647 56219 6 82762761
7828 57039 76 88043624 3647 56568 18 88170329
7828 57039 76 88043624 3615 55445 10 88170329
7828 57039 76 88043624 4238 55455 34 88170329
7828 57039 76 88043624 3647 55476 6 88170329
7828 57039 76 88043624 3647 56219 8 88170329
7828 57039 76 88043624 3615 56544 12 88170329
7828 57039 76 88043624 3647 56596 12 88170329
7828 57039 76 88043624 4239 55458 355 88170329
7828 57039 76 88043624 3647 55241 22 88170329
7828 57039 76 88043624 3615 55856 10 88170329
7828 57039 76 88043624 3615 56219 20 88170329
7828 57039 96 72706975 4239 55458 408 72768244
7828 57039 96 72706975 4238 55455 50 72768244
7828 57039 96 72706975 3745 55234 420 72768244
7828 57039 108 82656514 4238 55455 108 82764374
7828 57039 108 82656514 3744 55209 272 82764374
7828 57039 111 88038584 4238 55455 114 88165281
7828 57039 111 88038584 3744 55209 268 88165281
7828 57039 111 88038584 4239 55458 422 88165281
7828 57039 118 88038298 3745 55234 432 88164995
7828 57039 118 88038298 4239 55458 436 88164995
7828 57039 118 88038298 4238 55455 72 88164995
7828 57039 124 66438671 4344 55557 826 66464335
7828 57039 126 68454189 4238 55455 82 68489822
7828 57039 128 68454092 4238 55455 84 68489725
7828 57039 128 68454092 3744 55209 254 68489725
7828 57039 132 68454783 4239 55458 446 68490418
7828 57039 132 68454783 3744 55209 242 68490418
7828 57039 132 68454783 4238 55455 44 68490418
7828 57039 141 78034157 3615 56544 92 78121426
7828 57039 141 78034157 3615 55179 96 78121426
7828 57039 141 78034157 3647 56568 96 78121426
7828 57039 141 78034157 3615 55445 98 78121426
7828 57039 141 78034157 3647 56596 98 78121426
7828 57039 141 78034157 3615 55856 96 78121426
7828 57039 141 78034157 3647 55945 60 78121426
7828 57039 141 78034157 4239 55458 438 78121426
7828 57039 141 78034157 3647 55181 58 78121426
7828 57039 141 78034157 3647 55241 60 78121426
7828 57039 141 78034157 3647 55476 94 78121426
7828 57039 141 78034157 3615 55208 94 78121426
7828 57039 141 78034157 3647 55827 100 78121426
7828 57039 141 78034157 4238 55455 136 78121426
7828 57039 141 78034157 3647 56219 98 78121426
7828 57039 141 78034157 3615 56219 95 78121426
7828 57039 154 82657404 4238 55455 110 82765270
7828 57039 154 82657404 3745 55234 472 82765270
7828 57039 159 94137197 3615 56219 114 94299676
7828 57039 159 94137197 3615 55179 114 94299676
7828 57039 159 94137197 3647 56568 116 94299676
7828 57039 159 94137197 3647 55181 136 94299676
7828 57039 159 94137197 3615 56544 110 94299676
7828 57039 159 94137197 3615 55856 116 94299676
7828 57039 159 94137197 3615 55445 116 94299676
7828 57039 159 94137197 3647 55945 156 94299676
7828 57039 159 94137197 3647 55476 116 94299676
7828 57039 159 94137197 3647 56596 116 94299676
7828 57039 159 94137197 3615 55208 114 94299676
7828 57039 159 94137197 3647 55827 116 94299676
7828 57039 159 94137197 3647 55241 132 94299676
7828 57039 159 94137197 4238 55455 120 94299676
7828 57039 159 94137197 3647 56219 116 94299676
7828 57039 174 68452519 4238 55455 132 68488151
7828 57039 174 68452519 3744 55209 292 68488151
7828 57039 192 78029706 3745 55234 488 78116951
7828 57039 192 78029706 4239 55458 472 78116951
7828 57039 192 78029706 4238 55455 184 78116951
7828 57039 196 82659448 3744 55209 306 82767330
7828 57039 196 82659448 4239 55458 466 82767330
7828 57039 196 82659448 4238 55455 142 82767330
7828 57039 216 68450208 4238 55455 165 68485825
7828 57039 219 74942875 3615 56219 136 75017558
7828 57039 219 74942875 4238 55455 176 75017558
7828 57039 219 74942875 3615 55208 134 75017558
7828 57039 219 74942875 3647 55945 94 75017558
7828 57039 219 74942875 3647 56219 132 75017558
7828 57039 219 74942875 3647 55181 112 75017558
7828 57039 219 74942875 3615 56544 128 75017558
7828 57039 219 74942875 3647 55827 132 75017558
7828 57039 219 74942875 3647 56568 122 75017558
7828 57039 219 74942875 3647 55476 122 75017558
7828 57039 219 74942875 3647 56596 134 75017558
7828 57039 219 74942875 3615 55179 128 75017558
7828 57039 219 74942875 3615 55445 132 75017558
7828 57039 219 74942875 3615 55856 128 75017558
7828 57039 219 74942875 3647 55241 116 75017558
