PLATE MJD FIBER THING_ID RUN RERUN CAMCOL FIELD ID PLUG_RA PLUG_DEC SPECTROFLUX_1 SPECTROFLUX_2 SPECTROFLUX_3
7581 56949 7 273404032 8101 301 4 101 908 340.1409 18.303804 1.3993016481399536 1.6467604637145996 1.1300973892211914
7581 56949 42 268104562 8096 301 2 101 632 340.01585 17.802171 1.3751219511032104 2.3507089614868164 3.231563091278076
7581 56949 78 272893247 8101 301 4 98 361 339.58382000000006 18.388397 5.3239617347717285 5.954692363739014 5.285409927368164
7581 56949 130 269840894 4822 301 5 361 779 339.32191 17.980125 2.8424365520477295 2.6575655937194824 2.594362258911133
7581 56949 140 270789814 4822 301 5 362 388 339.52733 18.020196 3.599724769592285 5.65662145614624 6.903486728668213
7581 56949 141 272561173 8101 301 4 96 804 339.29171999999994 18.271626 3.5454182624816895 3.354487895965576 3.117460012435913
7581 56949 148 273060189 4822 301 6 362 444 339.2351100000001 18.276338 1.1376296281814575 1.30757474899292 0.9451918005943298
7581 56949 150 273059783 4822 301 6 362 889 339.1875299999999 18.251517 1.4417760372161865 1.4027726650238037 1.1674513816833496
7581 56949 203 267080239 4822 301 5 358 315 339.05419000000006 17.511143 2.6944868564605713 3.3563408851623535 3.9294188022613525
7581 56949 234 273885630 8096 301 4 95 583 338.9701600000001 18.440325 2.2329418659210205 1.751137137413025 1.5414366722106934
7581 56949 260 271192420 4822 301 6 360 568 338.91755 18.028345 5.258966445922852 6.250094890594482 6.827890396118164
7581 56949 273 273679069 8096 301 4 94 817 338.8538 18.411851 3.1802830696105957 3.1767466068267822 3.1974382400512695
7581 56949 330 268382321 4822 301 6 357 649 338.53691000000003 17.785593 3.8027987480163574 3.71040415763855 3.7433106899261475
7581 56949 358 273317786 8096 301 4 92 782 338.54756999999995 18.429228 3.1255664825439453 4.732772350311279 3.575366973876953
7581 56949 365 266520958 4822 301 6 355 647 338.43539 17.615029 2.141474962234497 2.759584665298462 3.6174724102020264
7581 56949 388 273136478 8096 301 4 91 495 338.31855999999993 18.282959 5.027550220489502 4.233243942260742 6.336061954498291
7581 56949 408 267774032 8101 301 3 89 593 338.23307 17.617809 6.026287078857422 7.144495964050293 6.795376300811768
7581 56949 423 272942697 8096 301 4 90 914 338.25928 18.350605 1.394687294960022 1.4629878997802734 1.6602084636688232
